CHARGE,CHARGE_TYPE_CLASSIFICATION
ATTEMPTING TO COMMIT AN OFFENSE,felony
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
VIOLATION OF PROTECTIVE ORDER,misdemeanor
DISORDERLY CONDUCT,misdemeanor
UNLAWFUL USE OF LICENSE OR NON-OPERATORS IDENTIFICATION (GENERAL),misdemeanor
DOMESTIC BATTERY,misdemeanor
CONSPIRACY,misdemeanor
DOMESTIC BATTERY,misdemeanor
BATTERY,misdemeanor
POSSESSION CONT/SUB LESS THAN GRAMS,misdemeanor
DOMESTIC ASSAULT,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
SPEEDING,misdemeanor
DOMESTIC ASSAULT,misdemeanor
SHOPLIFTING,misdemeanor
DUI,misdemeanor
EXPIRED REGISTRATION,misdemeanor
UNAUTHORIZED ACTS WITH REGARD TO WILDLIFE WITHOUT LICENSE OR PERMIT,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
FRAUDULENTLY OBTAINING FOOD OR LODGING,misdemeanor
EXPIRED REGISTRATION,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
CONTRIBUTING TO DELINQUENCY OF A MINOR,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DELIVERY OF CONTROLLED SUBSTANCE,felony
CONSPIRACY,felony
DELIVERY OF CONTROLLED SUBSTANCE,felony
DELIVERY OF CONTROLLED SUBSTANCE,felony
CONSPIRACY,felony
DELIVERY OF CONTROLLED SUBSTANCE,felony
DELIVERY OF CONTROLLED SUBSTANCE,felony
POSSESSION OF COUNTERFEIT WITH INTENT TO UTTER,felony
"OBTAINING MONEY, PROPERTY AND SERVICES BY FALSE PRETENSES (THEFT OF SERVICES)",misdemeanor
POSSESSION WITH INTENT,felony
PERSONS PROHIBITED FROM POSSESSING FIREARMS,felony
PROHIBITED PERSON CARRY CONCEALED,felony
MANUFACTURE/DELIVER/POSSESSION WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I/II NARCOTICS),felony
POSSESSION WITH INTENT,felony
"MANUFACTURE/ DELIVER/ POSSESS WITH INTENT TO MANUFACTURE/ DELIVER (SCHEDULE I,II,III OTHER)",felony
PERSONS PROHIBITED POSSESSION OF FIREARMS,felony
PROHIBITED PERSON CARRY CONCEALED,felony
EXPIRED REGISTRATION,misdemeanor
NO INSURANCE,misdemeanor
RUN RED LIGHT VIOLATION,misdemeanor
DRIVING SUSPENDED/REVOKED GENERAL,misdemeanor
CELL PHONE VIOLATION,misdemeanor
DRIVING SUSPENDED,misdemeanor
CERTIFICATE OF INSURANCE,misdemeanor
CELL PHONE VIOLATION,misdemeanor
SPEEDING,misdemeanor
DRIVING SUSPENDED/REVOKED GENERAL,misdemeanor
FAILURE TO OBEY TRAFFIC CONTROL DEVICE,misdemeanor
SPEEDING,misdemeanor
SPEEDING,misdemeanor
EXPIRED REGISTRATION,misdemeanor
EXP MVI,misdemeanor
NO SEATBELT,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
NO SEATBELT F. PASSENGER,misdemeanor
ASSAULT,misdemeanor
ASSAULT,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,misdemeanor
DOMESTIC BATTERY OR DOMESTIC ASSAULT - SECOND OFFENSE,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
POSSESSION OF A CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
TRANSFERRING A CONTROLLED SUBSTANCE IN A JAIL,felony
RECKLESS DRIVING,misdemeanor
MALICIOUS OR UNLAWFUL ASSAULT,felony
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTICATE,misdemeanor
BATTERY,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
CONTRIBUTING TO DELINQUENCY OF MINOR,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
POSSESSION OF ALCOHOL UNDER 21,misdemeanor
FALSE REPORT OF AN EMERGENCY INCIDENT,misdemeanor
CONSPIRACY,misdemeanor
FALSELY REPORTING AN EMERGENCY INCIDENT TO A LAW ENFORCEMENT OFFICER OR AGENCY,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTICATE,misdemeanor
EXPIRED REGISTRATION,misdemeanor
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
"CHILD PASSENGER SAFETY DEVICE REQUIRED, CHILD SAFEY SEATS AND/OR BOOSTER SEATS",misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTICATE,misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,misdemeanor
PETIT LARCENY,misdemeanor
EMBEZZLEMENT,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
DISORDERLY CONDUCT,misdemeanor
BATTERY,misdemeanor
BATTERY,misdemeanor
PUBLIC INTOXICATION,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
IMPROPER USE (PASSING) IN THE LEFT CENTER LANE,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
STALKING,misdemeanor
TRESPASSING,misdemeanor
PERSONS PROHIBITED FROM POSSESSING A FIREARM,misdemeanor
SHOOTING NEAR ROADWAY,misdemeanor
PERSONS PROHIBITED FROM POSSESSING A FIREARM,misdemeanor
TRESPASSING,misdemeanor
ATTEMPT TO COMMIT A FELONY,felony
DOMESTIC BATTERY,misdemeanor
TRUANCY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
DRIVING SUSPENDED,misdemeanor
"REGISTRATION CARD TO BE SIGNED, CARRIED AND EXHIBITED ON DEMAND",misdemeanor
FRAUDULENT USE OF ACCESS DEVICE,felony
UNSAFE AND IMPROPERLY EQUIPPED VEHICLES;APPLICABILITY OF ARTICLE TO FARM AND ROAD EQUIPMENT,misdemeanor
UNLAWFUL DISPOSAL OF LITTER LESS THAN 100 POUNDS,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
EXPIRED INSURANCE,misdemeanor
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
UNLAWFUL ACTS OF PERSONS. NONINTOXICATED BEER (18-21),misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
OPERATION WITHOUT CERTIFICATE OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
"REGISTRATION CARD TO BE SIGNED, CARRIED AND EXHIBITED ON DEMAND",petty_offense
FUGITIVE FROM JUSTICE,felony
DRIVING WITH SUSPENDED /REVOKED LICENSE NON DUI,petty_offense
BURGLARY,felony
SHOPLIFTING - CONCEALS MERCHANDISE,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTIFICATE,misdemeanor
SHOPLIFTING,misdemeanor
FUGITIVE FROM JUSTICE,felony
DISPLAY OF REGISTRATION PLATES,misdemeanor
USING CELL PHONE OR ELECTRONIC COMMUNICATIONS DEVICE WITHOUT HANDS FREE EQUIPMENT WHILE DRIVING,misdemeanor
SHOPLIFTING - 3RD OFFENSE,felony
SHOPLIFTING - 2ND OFFENSE,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
SHOPLIFTING,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
ATTEMPT TO COMMIT AN OFFENSE,felony
BATTERY,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
DOMESTIC BATTERY,misdemeanor
PUBLIC INTOXICATION,misdemeanor
SPEEDING,misdemeanor
"BRINGING INTO THIS STATE, RECEIVING, OR DISPOSING OF PROPERTY STOLEN IN ANOTHER STATE",misdemeanor
5. POSSESSION WITH INTENT TO DELIVER HEROIN,felony
5. DISTRIBUTION OF COCAINE,felony
DELIVERY OF HEROIN,felony
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
3. DISTRIBUTION OF HEROIN,felony
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
FUGITIVE FROM JUSTICE,petty_offense
PROVIDING FALSE INFORMATION TO A LAW ENFORCEMENT OFFICER,misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
1. DISTRIBUTION OF HEROIN,felony
2. DISTRIBUTION OF HEROIN,felony
SPEEDING,misdemeanor
NO MVI,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,misdemeanor
POSS C/S,misdemeanor
POSS C/S,misdemeanor
DEFECTIVE EQUIPMENT,misdemeanor
POSSESSION W/ INTENT,felony
PETIT LARCENY,misdemeanor
DUI,misdemeanor
CONTRIBUTING TO THE DELINQUENCY OR NEGLECT OF A MINOR,misdemeanor
DRIVING SUSPENDED/REVOKED - NON DUI,misdemeanor
CONTRIBUTING TO THE DELINQUENCY OR NEGLECT OF A MINOR,misdemeanor
UNAUTHORIZED ACTS WITH REGARD TO WILDLIFE WITHOUT LICENSE OR PERMIT,misdemeanor
EMBEZZLEMENT,misdemeanor
DOG RUNNING AT LARGE,misdemeanor
PETIT LARCENY,misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION OR FAILURE TO PRODUCE CERTICATE,misdemeanor
ENTRY OF BUILDING OTHER THAN DWELLING,misdemeanor
BATTERY,misdemeanor
BATTERY,misdemeanor
6. UTTERING,felony
4. UTTERING,felony
5. FORGERY,felony
2. DELIVERY OF HEROIN,felony
3. FORGERY,felony
1. MURDER BASED ON DELIVERY OF HEROIN,felony
7. DESTRUCTION OF PROPERTY,misdemeanor
DOMESTIC BATTERY 3RD OFFENSE,felony
OVERTAKING ANS PASSING SCHOOL BUS;PENALTIES;SIGNS AND WARNING LIGHTS UPON BUSES,misdemeanor
UNSAFE AND IMPROPERLY EQUIPPED VEHICLES,misdemeanor
EXPIRED REGISTRATION,misdemeanor
REGISTRATION CARD TO BE SIGNED,misdemeanor
OPERATION WITHOUT CERTIFICATE OF INSPECTION,misdemeanor
SPEEDING,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
UTTERING,felony
UTTERING,felony
DOMESTIC ASSAULT,misdemeanor
SPEED LIMITATIONS GENERALLY;PENALTY (10 MPH OR LESS ABOVE),misdemeanor
FORGERY,felony
FORGERY,felony
FORGERY,felony
TRESPASSING ON PROPERTY OTHER STRUCTURE OR CONVEYANCE (REFUSING TO LEAVE),misdemeanor
FORGERY,felony
FORGERY,felony
UTTERING,felony
SPEED LIMITATIONS GENERALLY;PENALTY (10 MPH OR LESS ABOVE),misdemeanor
UTTERING,felony
UTTERING,felony
MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER,misdemeanor
UTTERING,felony
UTTERING,felony
FORGERY,felony
BURGLARY,felony
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DRIVING WHILE LICENSE REVOKED DUI-1ST,misdemeanor
PROHIBITED PERSON CARRY CONCEALED,felony
POSSESSION WITH INTENT,felony
PROHIBITED PERSONS FROM POSSESSING A CONCEALED FIREARM,felony
PROHIBITED PERSON CARRY CONCEALED,felony
MANUFACTURE/DELIVER/POSSESSION WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I/II NARCOTICS),felony
POSSESSION WITH INTENT,felony
"MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCH I, II, III OTHER)",felony
PERSONS PROHIBITED POSSESSION OF FIREARMS,felony
DRIVING ON A SUSPENDED/REVOKED LICENSE-FOR DUI,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-FOR DUI,misdemeanor
"UNLAWFUL ACTS OF PERSON, NON-INTOXICATED BEER (PURCHASE FOR MINORS)",misdemeanor
OBSTRUCTING OFFICER,misdemeanor
NO SEAT BELT,misdemeanor
POSSESSION WITH INTENT TO DELIVER MARIJUANA,felony
GRAND LARCENY,felony
KNOWINGLY/INTENTIONALLY POSSESSION OF CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
DOMESTIC BATTERY,misdemeanor
PETIT LARCENY,misdemeanor
GRAND LARCENY,felony
"ENTRY OF BUILDING OTHER THAN DWELLING; ENTRY OF RAILROAD, TRACTION, OR MOTORCAR, STEAMBOAT OR VESSEL",felony
POSSESSION OF COUNTERFEIT WITH INTENT TO UTTER,misdemeanor
CONSPIRACY,felony
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
USING A CELL PHONE OR ELECTRONIC COMMUNICATIONS DEVICE WITHOUT HANDS FREE EQUIPMENT WHILE DRIVING,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
FORGERY,felony
FORGERY,felony
PETIT LARCENY,misdemeanor
BATTERY,misdemeanor
FORGERY,felony
UTTERING,felony
FORGERY,felony
FORGERY,felony
FORGERY,felony
FORGERY,felony
UTTERING,felony
CONSPIRACY,felony
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
UTTERING,felony
FORGERY,felony
EMBEZZLEMENT,felony
FORGERY,felony
FORGERY,felony
FORGERY,felony
FORGERY,felony
UTTERING,felony
FORGERY,felony
FORGERY,felony
SHOPLIFTING,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
UNAUTHORIZED ACTS WITH REGARD TO WILDLIFE WITHOUT LICENSE OR PERMIT,misdemeanor
NO SEAT BELT,misdemeanor
OPERATING A CLANDESTINE DRUG LAB,felony
JOYRIDING,felony
KNOWINGLY / INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
CONSPIRACY,felony
CONSPIRACY,felony
RECEIVING OR TRANSFERRING STOLEN GOODS,misdemeanor
GRAND LARCENY,felony
MANUFACTURING A CONTROLLED SUBSTANCE,felony
DESTRUCTION OF PROPERTY,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
BATTERY,misdemeanor
DESTRUCTION OF PROPERTY,felony
ACCESSORY AFTER THE FACT OF MANUFACTURING A CONTROLLED SUBSTANCE,felony
WANTON ENDANGERMENT INVOLVING A FIREARM,felony
KNOWINGLY / INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION WITH INTENT TO DELIVER A CONTROLLED SUBSTANCE,felony
2. UTTERING,felony
3. UTTERING,felony
4. UTTERING,felony
5. UTTERING,felony
POSSESSION WITH INTENT TO DELIVER COCAINE,felony
1. UTTERING,felony
CONSPIRACY TO COMMIT A FELONY,felony
POSSESSION WITH INTENT TO DELIVER A SCHEDULE I CONTROLLED SUBSTANCE (HEROIN),misdemeanor
POSSESSION WITH INTENT TO DELIVER A SCHEDULE I CONTROLLED SUBSTANCE (HEROIN),misdemeanor
DRIVING UNDER THE INFLUENCE OF ALCOHOL,misdemeanor
POSS. MARIJUANA LESS THAN 15 GRAMS,misdemeanor
TRESPASS ON PROPERTY OTHER THAN STRUCTURE OR CONVEYANCE,misdemeanor
SHOPLIFTING - REMOVAL OF MERCHANDISE,misdemeanor
VEHICLES MUST STOP AT THROUGH HIGHWAYS;ERECTION OF SIGNS,misdemeanor
SHOPLIFTING - CONCEALS MERCHANDISE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
DRIVING SUSPENDED /REVOKED LICENSE FOR DUI,misdemeanor
DISORDERLY CONDUCT,misdemeanor
SHOPLIFTING <$500,misdemeanor
NO OPERATORS,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,misdemeanor
FLEEING IN VEHICLE,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION WITH INTENT TO DELIVER A CONTROLLED SUBSTANCE,felony
POSSESSION OF A CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
FUGITIVE FROM JUSTICE,petty_offense
FALSELY REPORTING AN EMERGENCY,misdemeanor
FALSELY REPORTING AN EMERGENCY INCIDENT,misdemeanor
DISORDERLY CONDUCT,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,misdemeanor
BURGLARY,felony
ATTEMPT TO COMMIT A FELONY OF POSSESSION OF A CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
"FALSE EVIDENCES, FORGERY, ETC. OF TITLE AND REGISTRATION",felony
EXPIRED REGISTRATION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITH INTENT TO DELIVER,felony
OPERATORS,misdemeanor
"FALSE EVIDENCES, FORGERY, ETC. OF TITLE AND REGISTRATION",misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION WITH INTENT TO DELIVER ALPRAZOLAM,felony
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
OPERATING WITHOUT A CERTIFICATE OF INSPECTION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
RECKLESS DRIVING,misdemeanor
FAILURE TO MAINTAIN CONTROL,misdemeanor
ACCIDENT INVOLVING DAMAGE TO A VEHICLE,misdemeanor
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
PROHIBITED PERSON IN POSSESSION OF A FIREARM,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
RECKLESS DRIVING,misdemeanor
DRIVING UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES OR DRUGS - HABITUAL USER,misdemeanor
LIMITATIONS ON DRIVING ON THE LEFT-HAND SIDE OF THE ROADWAY,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
OPERATION WITHOUT CERT INSPECTION OF FAILURE TO PRODUCE CERTIFICATE; PENALTY FOR MISDEMEANOR,misdemeanor
NO VALID INSURANCE,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE,misdemeanor
DRIVING SUSPENDED/REVOKED - NON DUI,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
"DRIVING UNDER THE INFLUENCE, 2ND OFFENSE",misdemeanor
OPERATION WITHOUT CERT. INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
CERTIFICATE OF INSURANCE,misdemeanor
DRIVING WITH SUSPENDED /REVOKED LICENSE 2ND OFFENSE,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
DRIVING SUSPENDED /REVOKED LICENSE NON DUI,misdemeanor
RECKLESS DRIVING,misdemeanor
LICENSE REQUIRED- SALVAGE YARD,misdemeanor
DOMESTIC ASSAULT,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/ REVOKED FOR DRIVING UNDER THE INFLUENCE THIRD OFFENSE,felony
"MALICIOUS OR UNLAWFUL ASSAULT CAUSING BODILY INJURY WITH INTENT TO MAIM, DISFIGURE, DISABLE, OR KILL",felony
DRIVING WHILE LICENSE SUSPENDED/ REVOKED FOR DRIVING UNDER THE INFLUENCE SECOND OFFENSE,misdemeanor
DOMESTIC BATTERY,misdemeanor
DVP VIOLATION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DUI 1ST OFFENSES,misdemeanor
DELIVERY OF CONTROLLED SUBSTANCE,felony
OBSTRUCTING OFFICER,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
NOTICE OF CHANGE OF ADDRESS OR NAME,misdemeanor
DELIVERY OF CONTROLLED SUBSTANCE,felony
SHOPLIFTING,misdemeanor
DRIVING WHILE LICENSE SUSPENDED / REVOKED FOR DUI,felony
DRIVING WHILE LICENSE SUSPENDED / REVOKED; GENERAL - 2ND OFFENSE,misdemeanor
DRIVING WHILE LICENSE REVOKED - DUI,misdemeanor
POSSESSION OF CONCEALED WEAPON,misdemeanor
DRIVING UNDER THE INFLUENCE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED / REVOKED; GENERAL,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
SHOPLIFTING,misdemeanor
FLEEIING IN MOTOR VEHICLE,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE - SCHEUDLE 3,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DELIVERY OF CONTROLLED SUBSTANCE,felony
INTERFERENCE WITH OFFICERS OR MEMBERS,misdemeanor
DOMESTIC ASSAULT,misdemeanor
DOMESTIC BATTERY,misdemeanor
DEFECTIVE EQUIPMENT,misdemeanor
FRAUDULENT MVI,misdemeanor
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
OBSTRUCTION,misdemeanor
DOG TAX,misdemeanor
ANY OWNER OR KEEPER OF ANY DOG WHO PERMITS SUCH DOG TO RUN AT LARGE SHALL BE LIABLE FOR ANY DAMAGES,misdemeanor
ANY OWNER OR KEEPER OF ANY DOG WHO PERMITS SUCH DOG TO RUN AT LARGE SHALL BE LIABLE FOR ANY DAMAGES,misdemeanor
ANY OWNER OR KEEPER OF ANY DOG WHO PERMITS SUCH DOG TO RUN AT LARGE SHALL BE LIABLE FOR ANY DAMAGES,misdemeanor
EVERY REGISTERED DOG SHALL AT ALL TIMES WEAR A VALID REGISTRATION TAG ISSUED AS PROVIDED IN THIS ART,misdemeanor
ATTEMPT TO COMMIT AN OFFENSE,misdemeanor
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
CONSPIRACY TO COMMIT AN OFFENSE AGAINST THE STATE,felony
3. POSSESSION WITH INTENT TO DELIVER HEROIN,felony
PROHIBITED PERSON IN POSSESSION OF A FIREARM,felony
4. RECEIVING OR TRANSFERRING STOLEN PROPERTY,misdemeanor
1. POSSESSION WITH INTENT TO DELIVER MARIJUANA,felony
PROHIBITED PERSON IN POSSESSION OF A FIREARM,felony
5. CARRYING A DEADLY WEAPON WITHOUT A LICENSE OR OTHER AUTHORIZATION BY A PERSON UNDER THE AGE OF 21,misdemeanor
CARRYING A DEADLY WEAPON WITHOUT A LICENSE OR OTHER AUTHORIZATION,misdemeanor
CARRYING A DEADLY WEAPON WITHOUT A LICENSE OR OTHER AUTHORIZATION,misdemeanor
DOMESTIC BATTERY,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
2. POSSESSION WITH INTENT TO DELIVER MDMA,felony
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
OPERATION WITHOUT CERT. INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
CHILD PASSENGER SAFETY DEVICES REQUIRED;CHILD SAFETY SEATS AND BOOSTER SEATS,misdemeanor
UNDERAGE CONSUMPTION,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION (MISDEMEANOR),misdemeanor
SHOPLIFTING,misdemeanor
"CELL PHONE, NO HANDS FREE",misdemeanor
4. FORGERY OF A CREDIT CARD,felony
CREDIT CARD FORGERY,felony
5. FORGERY OF A CREDIT CARD,felony
1. FORGERY OF A CREDIT CARD,felony
3. FORGERY OF A CREDIT CARD,felony
MAKING AND ISSUING WORTHLESS CHECKS,misdemeanor
2. FORGERY OF A CREDIT CARD,felony
MAKING AND ISSUING WORTHLESS CHECKS,misdemeanor
CREDIT CARD FORGERY,felony
CREDIT CARD FORGERY,felony
DOMESTIC BATTERY,misdemeanor
CREDIT CARD FORGERY,felony
CREDIT CARD FORGERY,felony
DOMESTIC BATTERY - COMMITTING VIOLENT INJURY OR CAUSING APPREHNSION OF SAME (FAMILY/HOUSEHOLD MEMBER),misdemeanor
PUBLIC INTOXICATION,misdemeanor
DOMESTIC ASSAULT - COMMITTING VIOLENT INJURY OR CAUSING APPREHENSION OF SAME (FAMILY/HOUSEHOLD MEMBER),misdemeanor
DOMESTIC BATTERY - UNLAWFUL PHYSICAL CONTACT OF INSULTING/PROVOKING NATURE (FAMILY/HOUSEHOLD MEMBER),misdemeanor
OBSTRUCTING,misdemeanor
POSSESSION OF MARIJUANA,misdemeanor
FAILURE TO GIVE FINGERPRINTS,misdemeanor
KNOWINGLY POSSESS CONTROLLED SUBSTANCE WITHOUT VALID PRESCRIPTION,misdemeanor
DRIVING TOO FAST FOR ROADWAY CONDITIONS,misdemeanor
DRIVING TOO FAST FOR ROADWAY CONDITIONS,misdemeanor
CERTIFICATE INSURANCE,misdemeanor
VIOLATION OF DOMESTIC BOND,misdemeanor
