NOTES,SENTENCE
,
"Statute: 47 O.S. 7-602.1, 7-606(A)1",
,
,
,
"ORIGINAL OFFENSE: FR5, FAILURE TO COMPLY WITH COMPULSORY INSURANCE LAW OR FAILURE TO PRODUCE SECURITY VERIFICATION FORM (STATUTE: 47 O.S. 7-602.1, 7-606(A)1)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: LP1, OPERATING MV W/O CURRENT LIC PLATE/TAXES DUE STATE/IMPROPER TAG (STATUTE: 47 O.S. 1151(A)(5))
ORIGINAL PLEA: DISMISSED WITH COSTS",
"ORIGINAL OFFENSE: S11, SPEEDING 11-14 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
2014-01-08: TRAFFIC COSTS: $ 88.00; Statute: 47 O.S. 1151(A)(5),"2014-01-08: TRAFFIC FILING - OPERATING MV W/O CURRENT LIC PLATE/TAXES DUE STATE/IMPROPER TAG
2014-01-08: J. ANTHONY MILLER , JUDGE: CASE DISPOSED. DISMISSED WITH COSTS.
2014-01-08: TRAUMA CARE ASSISTANCE REVOLVING FUND
2014-01-08: LAW LIBRARY FEE
2014-01-08: SHERIFF'S SERVICE FEE ON ARRESTS
2014-01-08: COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
2014-01-09: ABSTRACT SENT TO D.P.S."
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: GUILTY PLEA",
,
,$100.00 FINE; FEES AMOUNT UNSPECIFIED; COSTS AMOUNT UNSPECIFIED;
,
"ORIGINAL OFFENSE: BC, BOGUS CHECK (STATUTE: 21 O.S. 1521-1541)
ORIGINAL PLEA: GUILTY PLEA",
,
,
,other: 03/26/2019- WARRANT ISSUED
,
,$50.00 FINE; FEES AMOUNT UNSPECIFIED;
,
,$155.00 FINE; FEES AMOUNT UNSPECIFIED;
,
,
,
,
,
 Has Active Warrant,Warrant issued 3-24-2021
 Has Active Warrant,Warrant issued 3-24-2021
"ORIGINAL OFFENSE: DL2, DRIVING UNDER SUSPENSION / DUS (STATUTE: 47 O.S. 6-303(B))
ORIGINAL PLEA: DISMISSED BY COURT",
,
,
Statute: 47 OS 11-801a,$5.00 FINE; FEES AMOUNT UNSPECIFIED; COSTS AMOUNT UNSPECIFIED;
"ORIGINAL OFFENSE: SB1, CHILD RESTRAINT VIOLATIONS (STATUTE: 47 O.S. 11-1112(A,)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: SB3, SEAT BELT - DRIVER NOT WEARING SEAT BELT (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: BC, BOGUS CHECK (STATUTE: 21 O.S. 1541.1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: C-S16, SPEED IN EXCESS OF POSTED MAX. (11-15 OVER LIMIT) (STATUTE: 47 O.S. 11-801)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
"12/14/2018: 2 YEARS DEFERRED SENTENCE; 
09/09/2020: VIOLATION OF PROBATION - APPLICATION TO ACCELERATE - PENDING; BENCH WARRANT ISSUED;; Probation Violation: 09/09/2020: VIOLATION OF PROBATION - APPLICATION TO ACCELERATE - PENDING; ; Warrant Date: 09/09/2020; Collections Active: Yes; Collections Date: 03/31/2021",2 YEARS PROBATION; $100.00 FINE; FEES AMOUNT UNSPECIFIED;
09/09/2020: WARRANT ISSUED;; Warrant Active: Yes; Warrant Date: 09/09/2020,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
"ORIGINAL OFFENSE: OPERATING MOTOR VEHICLE IN MANNER NOT REASONABLE&PROPER (STATUTE: O.S. 11 801 A)
ORIGINAL PLEA: BOND FORFEITED",
,
,
,$5.00 FINE; FEES AMOUNT UNSPECIFIED; $33.72 COSTS;
,"sentence suspended: 60 DAYS
other: 01/05/2021- COURT REVOKES 10 DAYS OF PREVIOUS SUSPENDED AMOUNT, WITH CREDIT FOR TIME SERVED ON MARCH 29,2019 AND JUNE 22, 2020 AND RUNNING CONCURRENT WTITH COUNT 1 AND CM-2019-47."
,other: CREDIT FOR TIME PREVIOUSLY SERVED ON 03/29/2019 AND 06/22/2020 AND RUNNING CONCURRENT WITH CM -2018-318.
,
,
,
,
,other: 5 YEARS DEFERRED;
,"sentence suspended: 60 DAYS
other: 01/05/2021- COURT REVOKES 10 DAYS OF PREVIOUS SUSPENDED AMOUNT, WITH CREDIT FOR TIME SERVED ON MARCH 29,2019 AND JUNE 22, 2020 AND RUNNING CONCURRENT WTITH CM-2019-47."
"2019-08-26: TRAFFIC COSTS (SPEEDING - 1 TO 10 OVER): $ 33.72

2019-08-26: FINES PAYABLE TO COUNTY: $ 5.00; Statute: 47 O.S. 11-801(B)(F), 11-801e","2019-07-26: TRAFFIC FILING - SPEEDING 1 - 10 MPH OVER
2019-08-26: COURT CLERK (TRAFFIC PLEAS) , JUDGE: CASE DISPOSED. CONVICTION.
2019-08-26: OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND
2019-08-26: DPS PATROL VEHICLE FUND FEE ASSESSMENT
2019-08-26: DA COUNCIL PROSECUTION ASSESSMENT FOR TRAFFIC
2019-08-26: FORENSIC SCIENCE IMPROVEMENT ASSESSMENT
2019-08-26: SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY
2019-08-26: CLEET PENALTY ASSESSMENT
2019-08-26: AFIS FEE
2019-08-26: SHERIFF'S SERVICE FEE ON ARRESTS
2019-08-26: ATTORNEY GENERAL VICTIM SERVICES UNIT
2019-08-26: C.H.A.B. STATUTORY FEE
2019-08-26: COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
2019-08-26: DISTRICT COURT ADMINISTRATIVE FEE
2019-08-28: ABSTRACT SENT TO D.P.S."
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(B)(F), 11-801E)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: BRG2, BURGLARY - SECOND DEGREE (STATUTE: 21 O.S. 1435)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: WFEL, POSSESSION OF A FIREARM WHILE IN THE COMMISSION OF A FELONY (STATUTE: 21 O.S. 1287)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: WE1, POSSESSION OF SAWED-OFF SHOTGUN/RIFLE (STATUTE: 21 O.S. 1289.18)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
,other: BOND AMOUNT: (20)
,"community service: 40 HR C/S
other: 1 YR D/S DRUG AND ALCOHOL EVAL & F-UP, DUI SCHOOL, VIP,"
"ORIGINAL OFFENSE: SB3, SEAT BELT - DRIVER NOT WEARING SEAT BELT (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: DI1, DUI ALCOHOL (STATUTE: 47 O.S. 11-902(A)(2))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: SB3, SEAT BELT VIOLATIONS (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: GUILTY PLEA",
,
,
,
,
,
"ORIGINAL OFFENSE: CT 1 ROBBERY WITH FIREARMS/AFCF (STATUTE: 21 O.S. 801)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: SEAT BELT (STATUTE: O.S. 12-417)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: FAILURE TO OBEY A LAWFUL ORDER DIRECTION OF A POLICE OFFICER (STATUTE: 47 O.S. 11-103)
ORIGINAL PLEA: STATE DECLINED TO FILE CHARGES",
"ORIGINAL OFFENSE: CT 1 ROBBERY WITH FIREARMS/AFCF (STATUTE: 21 O.S. 801)
ORIGINAL PLEA: GUILTY PLEA",
,
"ORIGINAL OFFENSE: MINOR ENTERING BAR AREA (STATUTE: O.S. T37 O.S 538 E)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: UNAUTHORIZED USE OF A VEHICLE/AFCF (STATUTE: 47 O.S. 4-102)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: CT 1 POSSESSION OF A FIREARM (STATUTE: 21 O.S. 1283)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: CT 1 ROBBERY WITH FIREARM/AFCF (STATUTE: 21 O.S. 801)
ORIGINAL PLEA: GUILTY PLEA",
,
"ORIGINAL OFFENSE: DRIVING WHILE PRIVILEGE SUSPENDED (STATUTE: 47 O.S. 6-303 (B))
ORIGINAL PLEA: GUILTY PLEA",
,
,
,
,
,
,
,
,
,
,
,
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: FR5, FAILURE TO COMPLY WITH COMPULSORY INSURANCE LAW OR FAILURE TO PRODUCE SECURITY VERIFICATION FORM (STATUTE: 47 O.S. 7-602.1, 7-606(A)1)
ORIGINAL PLEA: DISMISSED WITH COSTS",
"ORIGINAL OFFENSE: FR5, FAILURE TO COMPLY WITH COMPULSORY INSURANCE LAW OR FAILURE TO PRODUCE SECURITY VERIFICATION FORM (STATUTE: 47 O.S. 7-602.1, 7-606(A)1)
ORIGINAL PLEA: DISMISSED BY COURT",
,
,other: 03/16/2015- WARRANT ISSUED; FAILED TO APPEAR AND PAY JUDGE
,
"ORIGINAL OFFENSE: RT2, OPERATING A MV WITH EXPIRED REGISTRATION (STATUTE: 47 O.S. 1151(A)(5))
ORIGINAL PLEA: DISMISSED BY COURT",
"ORIGINAL OFFENSE: FR5, FINANCIAL RESPONSIBILITY/SECURITY VERIFICATION (STATUTE: 47 O.S. 7-606(A))
ORIGINAL PLEA: DISMISSED BY COURT",
"ORIGINAL OFFENSE: 01 - 10 OVER POSTED MAXIMUM (STATUTE: 47 O.S. 11801)
ORIGINAL PLEA: BOND FORFEITED",
"ORIGINAL OFFENSE: MAKING IMPROPER ENTRANCE OR EXIT TO TRAFFICWAY (STATUTE: 47 O.S. 11-3091)
ORIGINAL PLEA: BOND FORFEITED",
"ORIGINAL OFFENSE: FAILURE TO STOP FOR RED LIGHT (STATUTE: O.S. 11 204 A 1)
ORIGINAL PLEA: BOND FORFEITED",
"ORIGINAL OFFENSE: ENTERING A BUILDING OR STRUCTURE WITH CERTAIN INTENT (STATUTE: 21 O.S. 1438)
ORIGINAL PLEA: DISMISSED BY COURT",
"ORIGINAL OFFENSE: FISHING WITHOUT A LICENSE (STATUTE: O.S. 4-110)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: CT 1 FAIL TO ENFORCE THE SCHOOL ATTEN OF A CHILD UNDER THE AGE OF 18 (STATUTE: O.S. 70 10-105)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: DL2, DRIVING UNDER SUSPENSION / DUS (STATUTE: 47 O.S. 6-303(B))
ORIGINAL PLEA: DISMISSED WITH COSTS",
,
"ORIGINAL OFFENSE: FR5, FAILURE TO COMPLY WITH COMPULSORY INSURANCE LAW OR FAILURE TO PRODUCE SECURITY VERIFICATION FORM (STATUTE: 47 O.S. 7-602.1, 7-606(A)1)
ORIGINAL PLEA: DISMISSED BY COURT",
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
,
"ORIGINAL OFFENSE: DU9, POSSESSION OF A CONTROLLED DANGEROUS SUBSTANCE - MARIJUANA (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: GUILTY PLEA",
,"sentence suspended: 1 YEAR
community service: UNSPECIFIED
other: 12/05/2012- 2 YEARS DEFERRED; TO BE SUPERVISED BY DA AND COMPLETE 40 HRS CSW. DEFT TO PAY $30 FINE, $103.00 COSTS. 02/03/2014- DEFT AGREES TO DO 30 DAYS IN THE OKLAHOMA COUNTY JAIL WITH CREDIT FOR TIME SERVED. 09/27/2016- SENTENCE ACCELERATED; 52 WK BIP AND OBTAIN ASSESSMENT AND FOLLOW UP. 07/09/2018-  TO SERVE 100DAY ORDER OF INCARCERATION. UPON COMPLETION OF OI STATE AGREES TO ACCEPT THE TIME SERVED IN LIEU OF PROBATION REQUIREMENTS."
,"sentence suspended: 1 YEAR
community service: 40 HOURS
other: EACH COUNT TO RUN C/C. THIS CASE TO RUN C/C WITH CM-12-3320. 52 WK BIP AND OBTAIN ASSESSMENT AND FOLLOW UP. 07/09/2018-  TO SERVE 100DAY ORDER OF INCARCERATION. UPON COMPLETION OF OI STATE AGREES TO ACCEPT THE TIME SERVED IN LIEU OF PROBATION REQUIREMENTS.,"
"ORIGINAL OFFENSE: VPO2, VIOLATION OF PROTECTIVE ORDER (STATUTE: 22 O.S. 60.6)
ORIGINAL PLEA: DEFERRED/ACCELERATED GUILTY
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: OBS, OBSTRUCTING AN OFFICER (STATUTE: 21 O.S. 540)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: VPO2, VIOLATION OF PROTECTIVE ORDER (STATUTE: 22 O.S. 60.6)
ORIGINAL PLEA: DEFERRED/ACCELERATED GUILTY
ORIGINAL PLEA: GUILTY PLEA",
,"sentence suspended: 1 YEAR
community service: 40 HOURS
other: EACH COUNT TO RUN C/C. THIS CASE TO RUN C/C WITH CM-12-3320. 52 WK BIP AND OBTAIN ASSESSMENT AND FOLLOW UP. 07/09/2018-  TO SERVE 100DAY ORDER OF INCARCERATION. UPON COMPLETION OF OI STATE AGREES TO ACCEPT THE TIME SERVED IN LIEU OF PROBATION REQUIREMENTS.,"
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
Statute: 47 OS 11-801a,$10.00 FINE; FEES AMOUNT UNSPECIFIED; $77.00 COSTS;
"ORIGINAL OFFENSE: S51, SPEEDING 1 - 10 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: OTHER",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,FEES AMOUNT UNSPECIFIED; $83.00 COSTS;
,FEES AMOUNT UNSPECIFIED; $83.00 COSTS;
,
,FEES AMOUNT UNSPECIFIED; $83.00 COSTS;
,
,
,
,
,
,FEES AMOUNT UNSPECIFIED; $83.00 COSTS;
"ORIGINAL OFFENSE: S16, SPEEDING 16-20 MPH OVER (STATUTE: 47 O.S. 11-801(B)(C)(F))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DL5, OPERATING MV WITHOUT BEING LICENSED OR WITH EXPIRED DL (STATUTE: 47 O.S. 6-101(A)(D), 6-303(A))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"2015-12-14: TRAFFIC COSTS: $ 88.00

2015-12-14: FINES PAYABLE TO COUNTY: $ 50.00; Statute: 47 O.S. 6-101(A)(D), 6-303(A)","2015-12-01: TRAFFIC FILING - OPERATING MV WITHOUT BEING LICENSED OR WITH EXPIRED DL
2015-12-14: OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND
2015-12-14: DPS PATROL VEHICLE FUND FEE ASSESSMENT
2015-12-14: DA COUNCIL PROSECUTION ASSESSMENT FOR TRAFFIC
2015-12-14: TRAUMA CARE ASSISTANCE REVOLVING FUND
2015-12-14: SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY
2015-12-14: CLEET PENALTY ASSESSMENT
2015-12-14: LAW LIBRARY FEE
2015-12-14: FORENSIC SCIENCE IMPROVEMENT ASSESSMENT
2015-12-14: AFIS FEE
2015-12-14: SHERIFF'S SERVICE FEE ON ARRESTS
2015-12-14: C.H.A.B. STATUTORY FEE
2015-12-14: ATTORNEY GENERAL VICTIM SERVICES UNIT
2015-12-14: COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
2015-12-14: COURT CLERK (TRAFFIC PLEAS) , JUDGE: CASE DISPOSED. CONVICTION.
2015-12-15: ABSTRACT SENT TO D.P.S."
"2017-04-04: TRAFFIC COSTS: $ 88.00

2017-04-04: FINES PAYABLE TO COUNTY: $ 35.00; Statute: 47 O.S. 11-801(B)(C)(F)","2017-03-10: TRAFFIC FILING - SPEEDING 16-20 MPH OVER
2017-04-04: COURT CLERK (TRAFFIC PLEAS) , JUDGE: CASE DISPOSED. CONVICTION.BY MAIL
2017-04-04: OKLAHOMA COURT INFORMATION SYSTEM REVOLVING FUND
2017-04-04: DPS PATROL VEHICLE FUND FEE ASSESSMENT
2017-04-04: DA COUNCIL PROSECUTION ASSESSMENT FOR TRAFFIC
2017-04-04: SHERIFF’S SERVICE FEE FOR COURT HOUSE SECURITY
2017-04-04: TRAUMA CARE ASSISTANCE REVOLVING FUND
2017-04-04: CLEET PENALTY ASSESSMENT
2017-04-04: LAW LIBRARY FEE
2017-04-04: AFIS FEE
2017-04-04: SHERIFF'S SERVICE FEE ON ARRESTS
2017-04-04: FORENSIC SCIENCE IMPROVEMENT ASSESSMENT
2017-04-04: C.H.A.B. STATUTORY FEE
2017-04-04: ATTORNEY GENERAL VICTIM SERVICES UNIT
2017-04-04: COURT CLERK ADMINISTRATIVE FEE ON COLLECTIONS
2017-04-04: DISTRICT COURT ADMINISTRATIVE FEE
2017-04-05: ABSTRACT SENT TO D.P.S."
,
,
,other: ADDITIONAL DISPOSITION INFO: DISMISSED- PROSECUTION WITNESS FAILED TO APPEAR
"ORIGINAL OFFENSE: ABDOM, ASSAULT AND BATTERY - DOMESTIC IN THE PRESENCE OF A MINOR CHILD (STATUTE: 21 O.S. 644(G))
ORIGINAL PLEA: DISMISSED- PROSECUTION WITNESS FAILED TO APPEAR",
"ORIGINAL OFFENSE: DR3, POSSESSION OF PARAPHERNALIA (STATUTE: 63 O.S. 2-405B)
ORIGINAL PLEA: GUILTY PLEA",
,
,other: 18 MONTH DEFERRED SENTENCE; CONCURRENT WITH COUNT 2.
,
,"community service: 20 HOURS
other: 18 MONTH DEFERRED SENTENCE; DRUG AND ALCOHOL ASSESSMENT AND FOLLOW RECOMMENDATIONS, VICTIM IMPACT PROGRAM, DUI SCHOOL."
"ORIGINAL OFFENSE: DI7, ACTUAL PHYSICAL CONTROL OF VEHICLE WHILE INTOXICATED (STATUTE: 47 O.S. 11-902)
ORIGINAL PLEA: DEFERRED/ EXPUNGE DENIED",
"ORIGINAL OFFENSE: ENTB, ENTERING BUILDING WITH UNLAWFUL INTENT (STATUTE: 21 O.S. 1438)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: DU4, POSSESSION OF MARIJUANA (STATUTE: 63 O.S. 2-402(B2)2)
ORIGINAL PLEA: GUILTY PLEA",
,other: 18 MONTH DEFERRED SENTENCE; CONCURRENT WITH COUNT 2.
"ORIGINAL OFFENSE: DR1, PUBLIC DRUNK (STATUTE: 37 O.S. 8-1)
ORIGINAL PLEA: GUILTY PLEA",
,"community service: 56 HOURS
other: 18 MONTH DEFERRED SENTENCE"
"ORIGINAL OFFENSE: NONIN, POSSESSION OF BEER BY MINOR (STATUTE: 37 O.S. 246)
ORIGINAL PLEA: GUILTY PLEA",
,other: 18 MONTH DEFERRED SENTENCE; CONCURRENT WITH COUNT 2.
"ORIGINAL OFFENSE: DR1, PUBLIC INTOXICATION (STATUTE: 37 O.S. 8)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: ABDOM, ASSAULT AND BATTERY - DOMESTIC IN THE PRESENCE OF A MINOR CHILD (STATUTE: 21 O.S. 644(G))
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
,
"ORIGINAL OFFENSE: RR4, FAIL TO HAVE DL IN POSSESSION WHILE DRIVING (STATUTE: 47 O.S. 6-112)
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: OWPN, CARRYING A FIREARM WHILE UNDER THE INFLUENCE OF INTOXICATING LIQUOR (STATUTE: 21 O.S. 1289-9-1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: OBS, OBSTRUCTING AN OFFICER (STATUTE: 21 O.S. 540)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: GRAND LARCENY (STATUTE: 21 O.S. 1704)
ORIGINAL PLEA: DISMISSED BY COURT",
"ORIGINAL OFFENSE: CT 1 PERMITTING SEXUAL ABUSE TO OCCUR (STATUTE: 21 O.S. 843)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: F&B CK (STATUTE: 21 O.S. 1541.2)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: FAILURE TO CRRY PROOF OF INSURANCE (STATUTE: O.S. 7 602.1)
ORIGINAL PLEA: DISMISSED BY COURT",
,"other: BOND AMOUNT: (235)| 
ADDITIONAL DISPOSITION INFO: BOND FORFEITED"
"ORIGINAL OFFENSE: LP1, OPERATE VEHICLE ON WHICH ALL TAXES DUE THIS STATE HAVE NOT BEEN PAID (STATUTE: 47 O.S. 1151(A)(5))
ORIGINAL PLEA: BOND FORFEITED",
,
,
"ORIGINAL OFFENSE: NONIN1, SELL LOW POINT BEER TO PERSON UNDER 21 (STATUTE: 37 O.S. 2.241)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: NONIN1, SELL LOW POINT BEER TO PERSON UNDER 21 (STATUTE: 37 O.S. 2.241)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DR3, POSSESSION OR SELLING OF PARAPHERNALIA (STATUTE: 63 O.S. 2-405)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: BC, OBTAINING MERCHANDISE BY BOGUS CHECK (STATUTE: 21 O.S. 1521-1541)
ORIGINAL PLEA: DISMISSED WITH COSTS",
"ORIGINAL OFFENSE: DU2M, MARIJUANA *FELONY* IN PRESENCE OF CHILDREN UNDER 12 YEARS OF AGE (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: GUILTY PLEA",
,
Statute: 47 OS 11-801a,$5.00 FINE; FEES AMOUNT UNSPECIFIED; COSTS AMOUNT UNSPECIFIED;
,
,
"ORIGINAL OFFENSE: DI1, DUI ALCOHOL&TICKET (STATUTE: 47 O.S. 11-902(A))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DI5A, TRANSPORTING OPEN CONTAINER - BEER/INTOXICATING BEVERAGES&TICKET (STATUTE: 21 O.S. 1220)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: OPERATING A MOTOR VEHICLE W/O A VALID OPERATORS LICENSE (STATUTE: O.S. 7-303A)
ORIGINAL PLEA: STATE DECLINED TO FILE CHARGES",
"ORIGINAL OFFENSE: FAILURE TO COMPLY WITH COMPULSORY INSURANCE LAW (STATUTE: O.S. 7 606)
ORIGINAL PLEA: STATE DECLINED TO FILE CHARGES",
"ORIGINAL OFFENSE: S15, SPEEDING 15 MPH OVER (STATUTE: 47 O.S. 11-801(A))
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: DR1, PUBLIC INTOXICATION (STATUTE: 37 O.S. 8)
ORIGINAL PLEA: GUILTY PLEA",
,
"ORIGINAL OFFENSE: RR5A, OPERATING A MV W/REG PLATE MISSING/DEFACED/OBSCURED (STATUTE: 47 O.S. 1151(A))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: FR5, FINANCIAL RESPONSIBILITY/SECURITY VERIFICATION (STATUTE: 47 O.S. 7-606(A))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: DL2, DRIVING UNDER SUSPENSION / DUS (STATUTE: 47 O.S. 6-303(B))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
"ORIGINAL OFFENSE: SB3, SEAT BELT - DRIVER NOT WEARING SEAT BELT (STATUTE: 47 O.S. 12-417(A))
ORIGINAL PLEA: NOLO CONTENDERE PLEA",
,
,"community service: 100 HOURS
other: 5 YEARS DEFERRED;"
,
,$5.00 FINE; FEES AMOUNT UNSPECIFIED; $33.72 COSTS;
"ORIGINAL OFFENSE: PROCD, POSSESSION OF PROCEEDS DERIVED FROM A VIOLATION OF THE UCDSA (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: DU8I, POSSESSIONO F A CDS WITH INTENT TO DISTRIBUTE- MARIJUANA (STATUTE: 63 O.S. 2-401-2-420)
ORIGINAL PLEA: GUILTY PLEA",
,
,
,
"ALL INFORMATION AND SENTENCING REPORTED AS IS; 
NO FURTHER INFORMATION AVAILABLE; CHARGE TYPE: UNAVAILABLE;; Statute: 21 O.S. 1435; Charge Type Unavailable",
,
Statute: 21 O.S. 1283,
,
"ORIGINAL OFFENSE: FO1, FOLLOWING TOO CLOSELY (STATUTE: 47 O.S. 11-310(A)(B)(C)(D))
ORIGINAL PLEA: OTHER",
,
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451.1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: BC, UTTERING TWO OR MORE BOGUS CHECKS IN AMT OF 50 OR MORE (STATUTE: 21 O.S. 1521-1541)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451.1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451.1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451.1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451.1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: BC, OBTAINING MONEY OR PROPERTY BY MEANS OF A FALSE AND BOGUS CHECK (STATUTE: 21 O.S. 1521-1541)
ORIGINAL PLEA: DISMISSED- REQUEST OF THE STATE",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451.1)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451-1463)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451-1463)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451-1463)
ORIGINAL PLEA: GUILTY PLEA",
"ORIGINAL OFFENSE: EMB, EMBEZZLEMENT (STATUTE: 21 O.S. 1451.1)
ORIGINAL PLEA: GUILTY PLEA",
